,created_at,user_name,screen_name,description,user_location,text,language,hashtags,media_url,source,coordinates,place,time_zone
0,2022-03-07 20:57:01+00:00,Bill Smith,Bill3294,,,"@NavyLookout @COM_SNMG1 @dcullen_photo I watched them out from the Dundee side, was a fine sight. https://t.co/PHlQEZ36qT",en,,['https://pbs.twimg.com/media/FNRnqa1XMAEvT9f.jpg'],Twitter Web App,,,
1,2022-03-07 20:26:30+00:00,Jonathan,JonoCC,,"Dundee, Scotland",@NavyLookout @UKDefJournal @geoallison https://t.co/v1n4PrWoEQ,und,,['https://pbs.twimg.com/ext_tw_video_thumb/1500930781996277763/pu/img/bF4agFOrFnaLUXSi.jpg'],Twitter Web App,,,
2,2022-03-07 20:25:15+00:00,Jonathan,JonoCC,,"Dundee, Scotland",@NavyLookout @UKDefJournal @geoallison https://t.co/TyqWcmqkuq,und,,['https://pbs.twimg.com/ext_tw_video_thumb/1500930436637278209/pu/img/L68KTBtu3quQJ5xM.jpg'],Twitter Web App,,,
3,2022-03-07 18:07:50+00:00,TomLeachPhotography,TomLeachPhotos,"18 Year old Photographer.

Liverpool and Gloucester fan",,@HMSLANCASTER inbound to a cold and windy @HMNBDevonport this evening after a day of @FOST. @RoyalNavy @NavyLookout https://t.co/R9Gk8EtKP3,en,,['https://pbs.twimg.com/media/FNRAtc2XMAIS-0Z.jpg'],Twitter for Android,,,
4,2022-03-07 17:49:25+00:00,Chris C 🇬🇧,scottyc298,Focus on 🇬🇧 Navy and covers all branches inc 🇺🇸🇦🇺🇨🇦 NATO etc. RT ≠ Endorsement. Occasional ✈️ 🚁 📸 Linktree below for links to good FB groups 👇,"Fareham, England",@HMSQNLZ and @HMS_Richmond. @RNPics_ @SouthCoastPhot4 @AmzJS13 @georgeemmett8 @NavyLookout https://t.co/DWaHhwpZcT,und,,['https://pbs.twimg.com/media/FNQ8wc3XIAIgkgC.jpg'],Twitter for iPhone,,,
5,2022-03-07 17:30:51+00:00,RNPics_ 🇺🇦,RNPics_,- Royal Navy Inspired Photographer. - 📍Portsmouth Based 🇬🇧 - Occasional Other Tweets,HMNB Portsmouth ,@NavyLookout @HMS_Richmond @scottyc298 My angle! https://t.co/TtYrifO6xp,en,,['https://pbs.twimg.com/media/FNQ4gcCXEAMOzVm.jpg'],Twitter for iPhone,,,
6,2022-03-07 17:02:07+00:00,Kevin Kelway,Rockhoppas,"Media Director, Charity Trustee, International PR Specialist, Journalist, Silver/Bronze awards from MOD's (ERS), Devon Biz Champion, SMK Community Award winner.","Plymouth, England",@hms_lancaster inbound this evening @NavyLookout #EsplanadeLife https://t.co/moGXXJqgPc,en,['EsplanadeLife'],['https://pbs.twimg.com/media/FNQxrypX0AkUuBI.jpg'],Twitter Web App,,,
7,2022-03-07 17:01:49+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMS_Richmond sails from Portsmouth to join exercise #ColdResponse22 this afternoon 

Via @scottyc298 https://t.co/oCLAoIRi4Z",en,['ColdResponse22'],['https://pbs.twimg.com/media/FNQx05-XsAMV3B0.jpg'],TweetDeck,,,
8,2022-03-07 13:13:21+00:00,margaret bishton,margeanjack,,United Kingdom,@NavyLookout @HMSPWLS @WatkinNeil Safe passage to all your ships crew https://t.co/Sovyxb0LTB,en,,['https://pbs.twimg.com/media/FNP9kYCWQAAFFR_.jpg'],Twitter for iPhone,,,
9,2022-03-07 11:06:39+00:00,Rz02,Ijal2311,,"Torino, Piemonte",@Itz_Puggers @KevinBe59227614 @NavyLookout https://t.co/5vm4lHEHyC,und,,['https://pbs.twimg.com/media/FNPgkdWVIAEhGXn.jpg'],Twitter for iPhone,,,
10,2022-03-07 11:06:05+00:00,Rz02,Ijal2311,,"Torino, Piemonte",@Itz_Puggers @KevinBe59227614 @NavyLookout https://t.co/gaT0JcNLvx,und,,['https://pbs.twimg.com/media/FNPgcDBVgAIO1za.jpg'],Twitter for iPhone,,,
11,2022-03-07 10:59:20+00:00,Rz02,Ijal2311,,"Torino, Piemonte",@Itz_Puggers @KevinBe59227614 @NavyLookout https://t.co/k5FAZTPkYR,und,,['https://pbs.twimg.com/media/FNPe5ErUUAAnGvK.jpg'],Twitter for iPhone,,,
12,2022-03-07 10:08:42+00:00,Zirr,ItsAzirr,The North | The Middle East | contrasts Ice & heat. Based at both locations| history | pics that stand out | words,Middle East/Europe North,@GDCDAN23 @NavyLookout @HMSPWLS @WatkinNeil Russia declined the invitation this time (to observe) https://t.co/VeTc5WZ0Rg,en,,['https://pbs.twimg.com/media/FNPTDfaXIAU0-dW.jpg'],Twitter Web App,,,
13,2022-03-07 09:27:13+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSLANCASTER outbound from Devonport this morning.

Via: @Rockhoppas https://t.co/6UPtpzLt6t",en,,['https://pbs.twimg.com/media/FNPJzaHXEAYUzCU.jpg'],TweetDeck,,,
14,2022-03-07 09:18:00+00:00,Kevin Kelway,Rockhoppas,"Media Director, Charity Trustee, International PR Specialist, Journalist, Silver/Bronze awards from MOD's (ERS), Devon Biz Champion, SMK Community Award winner.","Plymouth, England",@hms_lancaster outbound this morning @NavyLookout  #EsplanadeLife https://t.co/AyjmsrrmVA,en,['EsplanadeLife'],['https://pbs.twimg.com/media/FNPHhp7XMAMfNAo.jpg'],Twitter Web App,,,
15,2022-03-07 08:53:11+00:00,Puggers,Itz_Puggers,yis,,@dbagdextrash @MarkBeresford11 @NavyLookout @HMSPWLS @WatkinNeil https://t.co/DVAz56jDjl,und,,['https://pbs.twimg.com/media/FNPCBnUWQAcZnR7.jpg'],Twitter for Android,,,
16,2022-03-07 08:16:26+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,"🇺🇸USS Roosevelt inbound to Devonport this morning.

via @AllanWarships https://t.co/y31K0baPZK",en,,['https://pbs.twimg.com/media/FNO5l3zX0AMS5up.jpg'],TweetDeck,,,
17,2022-03-07 08:09:05+00:00,Wrightys Warships,AllanWarships,Twitter feed for Wrightys Warship website keeping you informed of photo updates and general information,United Kingdom,#USS #Roosevelt #DDG80 inbound @HMNBDevonport a few moments ago #FOST #Plymouth @NavyLookout @surflant @USNavyEurope https://t.co/Qq2bKeOzmI,en,"['USS', 'Roosevelt', 'DDG80', 'FOST', 'Plymouth']",['https://pbs.twimg.com/media/FNO37JaXoAA5Nwh.jpg'],Twitter for Android,,,
18,2022-03-07 07:48:15+00:00,G M,GM60410314,,,@NavyLookout @HMSPWLS @WatkinNeil https://t.co/onwmrori4K,und,,['https://pbs.twimg.com/media/FNOzKDKXwAAwC41.jpg'],Twitter for iPhone,,,
19,2022-03-07 05:32:20+00:00,Ben John,benjohn65,"Marine Scientist - keen on exploration, archaeology, history, biology, oceanography, climate, technology, military, aerospace & mysteries of the universe 🤓 🌎","Fremantle, Western Australia","@NavyLookout Virginia-class submarine - US Navy

https://t.co/sOc9XCp4rV https://t.co/wNMZpxfhgg",en,,['https://pbs.twimg.com/media/FNOUBCaUYAE9ld_.jpg'],Twitter Web App,,,
20,2022-03-07 05:31:26+00:00,Ben John,benjohn65,"Marine Scientist - keen on exploration, archaeology, history, biology, oceanography, climate, technology, military, aerospace & mysteries of the universe 🤓 🌎","Fremantle, Western Australia","@NavyLookout Astute-class submarine - Royal Navy

https://t.co/UYop9CAPVP https://t.co/my4M4qpO44",en,,['https://pbs.twimg.com/media/FNOTuvfVIAIXXac.jpg'],Twitter Web App,,,
21,2022-03-07 00:33:26+00:00,Juan Jose Rojas Garza (@djarsuno),rsunohmsqueenE2,I own the world's best cyber security network. Call 226-580-7390 in Canada to book your appointment and talk to us about your cyber security plan now!,"London, Ontario",@NavyLookout @HMSQNLZ https://t.co/voAadLzP2L,und,,['https://pbs.twimg.com/media/FNNPo_wXIAUqR3-.jpg'],Twitter for Android,,,
