,created_at,user_name,screen_name,description,user_location,text,language,hashtags,media_url,source,coordinates,place,time_zone
0,2022-03-08 00:11:02+00:00,軍艦を偏見とガバガバ知識で語るbot,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"1号型ミサイル艇/日本/ミサイル艇
旧式化した魚雷艇をミサイル艇に置き換えたい→分かる
折角だし伊から技術買って50ノット以上出せる水中翼船作るべw→は？
作ってみたけど船体強度低すぎて日本海じゃ使えねぇw→早期退役へ　税金返せー！ https://t.co/RVFEASZvxH",ja,,['https://pbs.twimg.com/media/D1JeHtYUYAAzlYW.jpg'],twittbot.net,,,
1,2022-03-08 00:08:52+00:00,💙 Jane 🇺🇦 🕊️🌱,localnotail,"Local. Bit Gonzo
Mostly harmless Library Assistant & Mum.
Don't be a dick on purpose

Vigilantly making notes
""Offended archeologist""
link 👇 to see I'm real","Birmingham, Europe, Earth","Looks like that Russian Warship got served 👍

(🖼️ @richard_littler ) https://t.co/TtyLQ5Pu1K https://t.co/A6k3aiHIhT",en,,['https://pbs.twimg.com/media/FNSTR-PXoAgvFbI.jpg'],Twitter Web App,,,
2,2022-03-08 00:08:39+00:00,хроніки незабаром 🦚🇺🇦,shurioque,"файний хлопець з котом; живу у Вашингтоні, працюю в Піттсбургу, а сиджу в #укртві","Washington, DC","Russian warship, go fuck yourself! https://t.co/b8gKFRDmsZ",en,,['https://pbs.twimg.com/media/FNSTjlqWYAQ32KC.jpg'],Twitter for iPhone,,,
3,2022-03-07 23:40:56+00:00,軍艦を偏見とガバガバ知識で語るbot,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"ワスプ/アメリカ/空母
ヨークタウン級建造の際に余った排水量を埋めるために作った空母　アメリカ海軍初の舷側エレベーターを装備した
艦名はスズメバチという意味なのだが、敵を沈める前に伊19号の雷撃で沈んだ
潜水艦には気をつけよう！
https://t.co/casiMS3CYw",ja,,['https://pbs.twimg.com/media/Dz2-U8RVAAAKSkb.jpg'],twittbot.net,,,
4,2022-03-07 23:11:36+00:00,軍艦を偏見とガバガバ知識で語るbot,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"天龍型軽巡洋艦/日本/軽巡洋艦
イギリスのアリシューザ級を参考に建造した日本初の軽巡洋艦　世界最初の30ノット超えを記録した巡洋艦でもある
小さめに作ったから雷装に比べ砲撃力が貧弱すぎるだろ・・・と評価されたので建造は2隻で打ち切り
https://t.co/ziAJpsecIY",ja,,['https://pbs.twimg.com/media/DDDU-J4UAAAzYM0.jpg'],twittbot.net,,,
5,2022-03-07 22:53:04+00:00,LinkedIn Baptism Enjoyer,idle_warship,"""Eye flossed a wilt olive,"" eek rides oft lien twisty cop.","Portland, OR",Tell me you have a DUI without telling me you have a DUI https://t.co/VEtbnl0ohw,en,,['https://pbs.twimg.com/media/FNSCQmrUUAExdzV.jpg'],Twitter for iPhone,,,
6,2022-03-07 22:40:55+00:00,軍艦を偏見とガバガバ知識で語るbot,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"インコンパラブル/イギリス/巡洋戦艦
またハッシュハッシュクルーザーだ！
50.8サンチ砲とかいうマジキチ主砲を積む予定だったが、35ノットの高速を実現するため装甲は薄かったらしい。
なおユトランド沖海戦　後は分かるな？
https://t.co/n0tDXwjRc2",ja,,['https://pbs.twimg.com/media/DSVs5lmUMAA_wMF.jpg'],twittbot.net,,,
7,2022-03-07 22:34:44+00:00,いくら軍艦🍣,warship_ikura,"リンゼルとゲームとTL会話。呟き多い📣BLは苦手🙅 ヘッダーは遊眞さん(@yu_uma)から🥳
＊無断転載はご遠慮ください。 Please do not reprint without my permission.",回転寿司,う゛れ゛ち゛い゛ https://t.co/Ms8BXolub5,ja,,['https://pbs.twimg.com/media/FNR-DyTaMAILs1C.jpg'],Twitter for Android,,,
8,2022-03-07 21:10:59+00:00,軍艦を偏見とガバガバ知識で語るbot,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"モントローズ/イギリス/フリゲート
23型フリゲートの7番艦。
2019年3月から、北朝鮮対策として太平洋に派遣。日本に寄港し話題となった。
艦内の注意書きでアホっ子アピールしているのが特徴。 https://t.co/bBqPJfyvpq",ja,,['https://pbs.twimg.com/media/D-UWCwmUcAA7AXU.jpg'],twittbot.net,,,
9,2022-03-07 20:59:00+00:00,Yeni Şafak English,yenisafakEN,"Official Twitter account of Yeni Şafak English https://t.co/sMlJnbNOky

For Turkish: https://t.co/rh00Rk8QoT",,"Ukraine reportedly neutralizes Russian warship in Black Sea
https://t.co/HMdg7zUJml https://t.co/gRuCBkaDk2",en,,['https://pbs.twimg.com/media/FNQT-gZXoAgE4s8.jpg'],TweetDeck,,,
10,2022-03-07 20:44:00+00:00,The Mirror,DailyMirror,"The official Mirror Twitter account 
(Daily Mirror, Sunday Mirror & Mirror Online)
🗞️ - real news in real time
@MirrorBreaking_ for breaking news 🚨",UK,"Video captures Ukrainian navy opening fire and appears to hit Russian warship
https://t.co/ncuNGHzJf7 https://t.co/gmul6VrFqL",en,,['https://pbs.twimg.com/media/FNQhv4OXwAslJk7.jpg'],TweetDeck,,,
11,2022-03-07 20:40:53+00:00,軍艦を偏見とガバガバ知識で語るbot,warship_hengaba,その名の通り軍艦を偏見とガバガバ知識で語るbotです。30分に1回はつぶやきます。  艦これ、戦艦少女、アズールレーンとかの萌ミリネタ多めなので、苦手な方は注意してください  現在146隻登録済。,どこか,"初春型駆逐艦(改装前)/日本/駆逐艦
Q.ロンドン条約に違反しない駆逐艦とは
A.徹底的に軽量化して浮いた重量を武装に回す艦(ガンギマリ)
電気溶接の採用で軽量化&amp;特型並の火力を維持できたが、復元性が死んだので改装するハメになった
https://t.co/yEnfYxDSLf",ja,,['https://pbs.twimg.com/media/DcRkKKrVwAAmy5P.jpg'],twittbot.net,,,
