,created_at,user_name,screen_name,description,user_location,text,language,hashtags,media_url,source,coordinates,place,time_zone
0,2022-03-06 15:09:07+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,"Stunning view of @hmssevern outbound on the Firth of Clyde in the sunshine today.

Via @SheilaLWeir https://t.co/XdASp4AZeQ",en,,['https://pbs.twimg.com/media/FNLObCbXoAQtW0P.jpg'],TweetDeck,,,
1,2022-03-06 14:13:54+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@hms_argyll leaving Liverpool today.

Via @CruiseLpool https://t.co/dqqGBpxmLP",en,,['https://pbs.twimg.com/media/FNLBwhVWUAAaPXQ.jpg'],TweetDeck,,,
2,2022-03-06 08:34:02+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@hmsdiamond arrived in Augusta, 🇮🇹Sicily yesterday ahead of joining NATO operations in the eastern Mediterranean https://t.co/9fw0dVUwbv",en,,['https://pbs.twimg.com/media/FNJz9-NWYAMgfey.jpg'],TweetDeck,,,
3,2022-03-05 19:44:03+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,"From Sea Wolf to Sea Ceptor – the Royal Navy’s defensive shield

https://t.co/as1NGKG6RF https://t.co/zhxBQ1FWEt",en,,['https://pbs.twimg.com/media/FNHDy9RXsAEARJ8.jpg'],TweetDeck,,,
4,2022-03-05 19:36:01+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@RFACardiganBay and @RFATideforce alongside in Portland today

Via @AmzJS13 https://t.co/1aA8uApxpB",en,,['https://pbs.twimg.com/media/FNHB9BgXsAE84FY.jpg'],TweetDeck,,,
5,2022-03-05 11:33:24+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,"Astute class sbmarine inbound on the Clyde this morning.

Via @SheilaLWeir https://t.co/IiBydX9Nj9",en,,['https://pbs.twimg.com/media/FNFTdR8WUAgSU1V.jpg'],TweetDeck,,,
6,2022-03-05 10:50:59+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@hms_argyll alongside at Liverpool Cruise Treminal this weekend @CruiseLpool 

Via @GogleddIwerddon https://t.co/nOoRuIt8F7",en,,['https://pbs.twimg.com/media/FNFJzGiXIAAvCJm.jpg'],TweetDeck,,,
7,2022-03-05 09:12:44+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,.@HMSTrent seaboat operations with 🇮🇹ITS Carlo Margottini  while serving with #SNMG2 in the Mediterranean. https://t.co/iD8OejvIFq,en,['SNMG2'],['https://pbs.twimg.com/ext_tw_video_thumb/1500036274815701001/pu/img/ZWHnwKW3kFXb51mo.jpg'],TweetDeck,,,
8,2022-03-04 20:33:25+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,@HMSPenzance @RN_engineers Photos @ThalesUK https://t.co/Q91k0TozF4,pt,,['https://pbs.twimg.com/media/FNCFcqGWUAU1DVM.jpg'],TweetDeck,,,
9,2022-03-04 16:46:35+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,"Getting ready

@HMSPWLS and @HMSQNLZ 

@hms_mersey foreground and @HMS_Richmond beyond

Via @scottyc298 https://t.co/iEvv7cHytg",en,,['https://pbs.twimg.com/media/FNBRZKyXwAIDBFe.jpg'],TweetDeck,,,
10,2022-03-04 15:07:24+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@hmssevern arriving in Glasgow this afternoon.

via @whatthomassaw https://t.co/Fp5dUJqZ7E",en,,['https://pbs.twimg.com/media/FNA61BJXwAwpcnj.jpg'],TweetDeck,,,
11,2022-03-04 14:41:50+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@RFATidespring coming out of dry dock into the wet basin at @CammellLaird today.

Via @GogleddIwerddon https://t.co/tUyw1ackf8",en,,['https://pbs.twimg.com/media/FNA1BXzXMAARBIR.jpg'],TweetDeck,,,
12,2022-03-04 14:24:26+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMS_Spey visits the Pitcairn Islands

https://t.co/Qz7CYZUbXo https://t.co/XzrLCQgolp",en,,['https://pbs.twimg.com/media/FNAw0v6WUAIIQun.jpg'],TweetDeck,,,
13,2022-03-04 14:19:07+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@HmsBrocklesby inbound to Portsmouth today.

via @georgeemmett8 https://t.co/1b6lbDtOuw",en,,['https://pbs.twimg.com/media/FNAvx3AWQAojLjf.jpg'],TweetDeck,,,
14,2022-03-04 14:07:23+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSGrimsby alsongside in Stavanger 🇳🇴with ships of #SNMCMG1 

Via @NatEsmeRun https://t.co/YbAi5qnkcx",en,['SNMCMG1'],['https://pbs.twimg.com/media/FNAtIaJXoAUEXH8.jpg'],TweetDeck,,,
15,2022-03-03 18:55:59+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,@RFAArgus Via @Rockhoppas https://t.co/RCpNpQPzy3,und,,['https://pbs.twimg.com/media/FM8lodCX0Ac9rq6.jpg'],TweetDeck,,,
16,2022-03-03 18:50:12+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,Sunset seen from @RFAArgus before arriving in Devonport this evening. https://t.co/6DcFpNVlVF,en,,['https://pbs.twimg.com/media/FM8kSm8XsAciyhS.jpg'],TweetDeck,,,
17,2022-03-03 18:43:52+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSPortland arriving in 
🇺🇸Norfolk, Virginia today.

via @johnmorgan726 / @WarshipCam https://t.co/1R299iJN8d",en,,['https://pbs.twimg.com/media/FM8i1GmX0AMvkR5.jpg'],TweetDeck,,,
18,2022-03-03 12:09:47+00:00,Navy Lookout,NavyLookout,Independent Royal Navy news and analysis,UK,".@HMSDefender returns to Portsmouth this morning.

Via @Omgtiggeroni https://t.co/lypjqRkCrD",en,,['https://pbs.twimg.com/media/FM7IndoWQAAGDHg.jpg'],TweetDeck,,,
