,created_at,user_name,screen_name,description,user_location,text,language,hashtags,media_url,source,coordinates,place,time_zone
0,2022-03-03 10:48:55+00:00,Harbour Pilot,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Pilot disembark MSC Adelaide, Valencia port. 
https://t.co/zAIJmxddbl https://t.co/CEVfiiXl8s",in,,,Twitter Web App,,,
1,2022-03-02 11:39:35+00:00,Harbour Pilot,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","MSC Alix 3 assisted tugs outbound Odessa port. 
https://t.co/ujjHheOxS4 https://t.co/APDSeuzp48",en,,,Twitter Web App,,,
2,2022-03-02 11:05:12+00:00,Harbour Pilot,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Selamet assisted tugs inbound Odessa port. 
https://t.co/u0kWPLwWYF https://t.co/merqToLH7r",en,,,Twitter Web App,,,
3,2022-03-02 10:49:45+00:00,Harbour Pilot,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Odessa port. 
https://t.co/ottUyK6gDi https://t.co/vQOdHA7Cif",pt,,,Twitter Web App,,,
4,2022-03-02 10:36:02+00:00,Harbour Pilot,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Big return station, Odessa port. 
https://t.co/1Xmwe69ffH https://t.co/G62EkEwAAO",en,,,Twitter Web App,,,
5,2022-03-02 10:18:47+00:00,Harbour Pilot,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Akomena outbound Odessa port. 
https://t.co/UUc38IflDG https://t.co/j4woss3Cr3",ht,,,Twitter Web App,,,
6,2022-03-02 09:56:59+00:00,Harbour Pilot,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Bulat working Odessa port. 
https://t.co/GyDdohPcR7 https://t.co/a58xsRHJgs",en,,,Twitter Web App,,,
7,2022-03-02 08:48:24+00:00,Harbour Pilot,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Big berthing Odessa port. 
https://t.co/drKFT0Gmn4 https://t.co/gWsva1jsRX",en,,,Twitter Web App,,,
8,2022-03-02 08:25:00+00:00,Harbour Pilot,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Lighthouse and Terminal, Odessa port. 
https://t.co/wFloPiwK58 https://t.co/JT7RdKuQKA",en,,,Twitter Web App,,,
9,2022-03-02 07:59:18+00:00,Harbour Pilot,PilotHarbour,Ports and pilots maritime photograpy,"Valencia, Spain","Australia and Alexandria, Odessa port. 
https://t.co/vGBGHfaxZx https://t.co/W15GGNsrC1",it,,,Twitter Web App,,,
