,created_at,user_name,screen_name,description,user_location,text,language,hashtags,media_url,source,coordinates,place,time_zone
0,2022-03-03 05:40:50+00:00,Shipping Mag,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,"RT @JuanGMata: Ferry ""Bahama Mama"" saliendo de Algeciras. https://t.co/JkfLMr4cKF",es,,['https://pbs.twimg.com/media/FM4CiZiWQAMtiUO.jpg'],Twitter for Android,,,
1,2022-03-01 05:47:57+00:00,Shipping Mag,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @BShipspotting: Container ship Lori and bulker Iwagi Island https://t.co/BdJSSpIDfV,en,,['https://pbs.twimg.com/media/FMuAYQqXMAUqqrm.jpg'],Twitter for Android,,,
2,2022-02-28 18:02:38+00:00,Shipping Mag,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @MaritimeSocialM: Container Lines Suspend Russia Bookings https://t.co/WlZcLr2r1V https://t.co/3nMrFQKEqb,en,,['https://pbs.twimg.com/media/FMs1tIzVUAMw8kS.jpg'],Twitter for Android,,,
3,2022-02-28 18:01:39+00:00,Shipping Mag,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @ABPSouthampton: Lovely to welcome AIDAcosma to the port this morning on her maiden voyage. https://t.co/HtRFA993O8,en,,['https://pbs.twimg.com/media/FMsyoEeXsAYE0tI.jpg'],Twitter for Android,,,
4,2022-02-28 07:09:38+00:00,Shipping Mag,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @TankerTimelapse: Escape from Fawley https://t.co/tTPjC5U7eg,en,,['https://pbs.twimg.com/ext_tw_video_thumb/1497526739374948353/pu/img/Xi4CYsn9qM0mGJhZ.jpg'],Twitter for Android,,,
5,2022-02-25 18:29:46+00:00,Shipping Mag,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @panamaru2: 今回でお別れかな👋 https://t.co/vlv9eGhGYt,ja,,['https://pbs.twimg.com/media/FMacG2uaUAIHbu4.jpg'],Twitter for Android,,,
6,2022-02-22 05:26:46+00:00,Shipping Mag,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @CeresTerminals: We love our job! #terminaloperations #stevedoring https://t.co/bSsN4S7FAf,en,"['terminaloperations', 'stevedoring']",['https://pbs.twimg.com/media/FMI_lJLWYAA-rB-.jpg'],Twitter for Android,,,
7,2022-02-20 16:23:54+00:00,Shipping Mag,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @TankerTimelapse: Another blustery passage. https://t.co/Slo1v4jaIu,en,,['https://pbs.twimg.com/ext_tw_video_thumb/1495315455787118592/pu/img/yfi6dG2Cuh3dMfde.jpg'],Twitter for Android,,,
8,2022-02-20 16:23:36+00:00,Shipping Mag,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,RT @TheSuffolkMan: #MayviewMaersk #Felixstowe #Port https://t.co/WehEzvl6rS,und,"['MayviewMaersk', 'Felixstowe', 'Port']",['https://pbs.twimg.com/media/FMCJkE4WUAAOong.jpg'],Twitter for Android,,,
9,2022-02-18 04:44:08+00:00,Shipping Mag,ShippingMag,Shipping Today & Yesterday - the monthly magazine for the shipping enthusiast with all the latest news and features.,United Kingdom,"RT @KWTWeather: Hamburg port,Germany today https://t.co/mns8Rcvsw2",en,,['https://pbs.twimg.com/ext_tw_video_thumb/1494312288941187075/pu/img/0RAHS5pDNYzSb3lD.jpg'],Twitter for Android,,,
