,created_at,user_name,screen_name,description,user_location,text,language,hashtags,media_url,source,coordinates,place,time_zone
0,2022-03-03 18:10:38+00:00,Ships In Pictures ⚓️,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,RT @AfricaUya: KARIM ALLAH anchored⚓️  #Ship #port #shipsinpics #maritime #VTS #shipspotter #Tarragona https://t.co/Ku6RP2SWjP,in,"['Ship', 'port', 'shipsinpics', 'maritime', 'VTS', 'shipspotter', 'Tarragona']",['https://pbs.twimg.com/media/FM8Z3YkX0AM4vW4.jpg'],RT #shipinpics,,,
1,2022-03-01 00:10:56+00:00,Ships In Pictures ⚓️,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @peterlenderink: Nordic Ace - IMO 9386225 - Callsign C6WE6 -  https://t.co/fRmhh8aDdN 
#shipsinpics  #ijmuiden https://t.co/n3bPhVfO9Y",en,"['shipsinpics', 'ijmuiden']",['https://pbs.twimg.com/media/FMuPG7wX0AoEKJL.jpg'],RT #shipinpics,,,
2,2022-03-01 00:10:50+00:00,Ships In Pictures ⚓️,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @peterlenderink: Odda Marie - IMO 9123570 - Callsign ZDIP6 -  https://t.co/G7pwUgyJoR 
#shipsinpics  #ijmuiden https://t.co/aPAs5sJy8Q",it,"['shipsinpics', 'ijmuiden']",['https://pbs.twimg.com/media/FMuOnbNWQAUktrE.jpg'],RT #shipinpics,,,
3,2022-02-28 22:10:34+00:00,Ships In Pictures ⚓️,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @Apez140: #Instantes
De una Arribada a #LaBahíaDeSantander...🧚‍♂️😎
#ShipsInPics https://t.co/pLZI3u1v6u",es,"['Instantes', 'LaBahíaDeSantander', 'ShipsInPics']",['https://pbs.twimg.com/media/FMtpw48XoAEmRBv.jpg'],RT #shipinpics,,,
4,2022-02-28 18:10:55+00:00,Ships In Pictures ⚓️,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @Apez140: #Instantes
De una Dársena Pesquera de #LaBahíaDeSantander...🧚‍♂️😎
#ShipsInPics https://t.co/lcCDvYCsmg",es,"['Instantes', 'LaBahíaDeSantander', 'ShipsInPics']",['https://pbs.twimg.com/media/FMs9GqMXwAAeF2o.jpg'],RT #shipinpics,,,
5,2022-02-28 18:10:51+00:00,Ships In Pictures ⚓️,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @Apez140: #Instantes
De una Dársena Pesquera de #LaBahíaDeSantander...🧚‍♂️😎
#ShipsInPics https://t.co/oKOvc93LpA",es,"['Instantes', 'LaBahíaDeSantander', 'ShipsInPics']",['https://pbs.twimg.com/media/FMs8hI4XIAIXPjx.jpg'],RT #shipinpics,,,
6,2022-02-28 17:10:34+00:00,Ships In Pictures ⚓️,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,RT @kostasg28: Zhangjiagang #China #shipsinpics https://t.co/9uqaGmQAOa,in,"['China', 'shipsinpics']",['https://pbs.twimg.com/media/FMsjvrfaUAMEAJR.jpg'],RT #shipinpics,,,
7,2022-02-27 13:10:34+00:00,Ships In Pictures ⚓️,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @Apez140: #Instantes
De un #Remolcador en #LaBahíaDeSantander...🧚‍♂️😎
#ShipsInPics https://t.co/AAHt2BS8Rq",es,"['Instantes', 'Remolcador', 'LaBahíaDeSantander', 'ShipsInPics']",['https://pbs.twimg.com/media/FMmlA4aXMAQh5r3.jpg'],RT #shipinpics,,,
8,2022-02-27 01:10:34+00:00,Ships In Pictures ⚓️,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @peterlenderink: Jade - IMO 9411769 - Callsign PCDI -https://t.co/7gkedjT4BO
#shipsinpics #ijmuiden https://t.co/CddB2hSoIg",pt,"['shipsinpics', 'ijmuiden']",['https://pbs.twimg.com/media/FMkJ2tzX0AID69-.jpg'],RT #shipinpics,,,
9,2022-02-26 17:10:55+00:00,Ships In Pictures ⚓️,ShipsInPics,Sharing the best ship photos 📷 around. Tweets by @JonathanWich and @LenaGothberg. Use #shipsinpics to get retweeted!,Email: shipsinpics@gmail.com,"RT @peterlenderink: Alice N - IMO 9312406 - Callsign H9DN -  https://t.co/Oa95LgXSs9 
#shipsinpics #ijmuiden https://t.co/751ZZW0JAp",tl,"['shipsinpics', 'ijmuiden']",['https://pbs.twimg.com/media/FMiX1lGXsAEQyMU.jpg'],RT #shipinpics,,,
