,created_at,user_name,screen_name,description,user_location,text,language,hashtags,media_url,source,coordinates,place,time_zone
0,2022-03-05 12:49:35+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","HMCS Halifax (FFH 330) Halifax-class frigate leaving Halifax, Nova Scotia - March 5, 2022 #hmcshalifax #ffh330 https://t.co/sg0YuEJzXJ",fi,"['hmcshalifax', 'ffh330']",['https://pbs.twimg.com/media/FNFk84JXEAYHm_Q.jpg'],Twitter for iPad,,,
1,2022-03-05 12:17:57+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","German Navy Elbe-class tender FGS Main (A515) coming into Helsinki, Finland - March 4, 2022 #fgsmain #a515 https://t.co/YcmoJ7suf8",en,"['fgsmain', 'a515']",['https://pbs.twimg.com/media/FNFdtcgXwAA0Pyy.jpg'],Twitter for iPad,,,
2,2022-03-04 13:30:05+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Standing NATO Mine Countermeasures Group 1 (SNMCMG1) in Stavanger, Norway - March 4, 2022 #snmcmg1 https://t.co/meS0s5KcQe",en,['snmcmg1'],['https://pbs.twimg.com/media/FNAkoh7WUAYpI7j.jpg'],Twitter for iPad,,,
3,2022-03-04 13:08:42+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Helicopters Coming Into San Diego - March 3, 2022

* photo courtesy of @cjr1321 https://t.co/afsJ0RCvsE",en,,['https://pbs.twimg.com/media/FNAfvMRXoAUZTsK.jpg'],Twitter for iPad,,,
4,2022-03-03 13:57:21+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Bataan (LHD 5) Wasp-class amphibious assault ship coming into Norfolk, Virginia - March 3, 2022 #ussbataan #lhd5 https://t.co/vdmrhYg0YQ",en,"['ussbataan', 'lhd5']",['https://pbs.twimg.com/media/FM7hSGZXoAECgmD.jpg'],Twitter for iPad,,,
5,2022-03-03 13:22:54+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Standing NATO Mine Countermeasures Group 1 (SNMCMG1) in Stavanger, Norway - March 3, 2022 #snmcmg1 https://t.co/QNg6XjWdiy",en,['snmcmg1'],['https://pbs.twimg.com/media/FM7ZZdSXMAkytU-.jpg'],Twitter for iPad,,,
6,2022-03-02 17:27:04+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Boeing C17A Globemaster III coming into San Diego - March 1, 2022

* photos courtesy of @cjr1321 https://t.co/nqdi6X8JT5",en,,['https://pbs.twimg.com/media/FM3HsQPVcAE-5r6.jpg'],Twitter for iPad,,,
7,2022-03-02 13:25:23+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","HMS Albion (L14) Albion-class amphibious transport dock in Tromso, Norway - March 2, 2022 #hmsalbion #l14 https://t.co/48gy0k14YF",en,"['hmsalbion', 'l14']",['https://pbs.twimg.com/media/FM2QX1XXsAgLhkz.jpg'],Twitter for iPad,,,
8,2022-03-01 18:31:31+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Chilean Navy OPV-80-class offshore patrol vessel in Punta Arenas, Chile - March 1, 2022 https://t.co/vTtJLBR6tS",en,,['https://pbs.twimg.com/media/FMyM2zvX0Aw9wzF.jpg'],Twitter for iPad,,,
9,2022-03-01 15:20:29+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Bataan (LHD 5) Wasp-class amphibious assault ship leaving Norfolk, Virginia - March 1, 2022 #ussbataan #lhd5 https://t.co/glsWvpAVc3",en,"['ussbataan', 'lhd5']",['https://pbs.twimg.com/media/FMxhIhOXsAkZ9tY.jpg'],Twitter for iPad,,,
10,2022-03-01 13:34:37+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","HMS Northumberland (F238) Duke-class frigate in Stavanger, Norway - March 1, 2022 #hmsnorthumberland #f238 https://t.co/ZQGv4Ymrn4",en,"['hmsnorthumberland', 'f238']",['https://pbs.twimg.com/media/FMxI5qUXwAAJfxO.jpg'],Twitter for iPad,,,
11,2022-02-28 19:20:08+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier leaving San Diego - February 28, 2022 #ussnimitz #cvn68 https://t.co/jvp0pMPS63",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FMtOZEnXsA0S59a.jpg'],Twitter for iPad,,,
12,2022-02-28 19:19:53+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier leaving San Diego - February 28, 2022 #ussnimitz #cvn68 https://t.co/6paOGrZ4LR",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FMtOVX3XsAsLxG5.jpg'],Twitter for iPad,,,
13,2022-02-25 17:36:13+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Los Angeles-class nuclear attack submarine coming into Pearl Harbor this morning - February 25, 2022 https://t.co/cdI5iTbqVz",en,,['https://pbs.twimg.com/media/FMdZ1mbXIAkbEqM.jpg'],Twitter for iPad,,,
14,2022-02-25 17:34:00+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier coming into San Diego - February 25, 2022 #ussnimitz #cvn68 https://t.co/H3TYNaL0NZ",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FMdZVQLXsAkRptt.jpg'],Twitter for iPad,,,
15,2022-02-24 16:56:10+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","German Navy Sachsen-class frigate FGS Sachsen (F219) coming into Kiel, Germany - February 24, 2022 #fgssachsen #f219 https://t.co/SqwHkkM9as",de,"['fgssachsen', 'f219']",['https://pbs.twimg.com/media/FMYHFSzXMAU0L07.jpg'],Twitter for iPad,,,
16,2022-02-22 21:27:33+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier leaving San Diego - February 22, 2022 #ussnimitz #cvn68 https://t.co/meLZeTbO7W",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FMOyBDpXwAMcbgZ.jpg'],Twitter for iPad,,,
17,2022-02-22 21:27:24+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier leaving San Diego - February 22, 2022 #ussnimitz #cvn68 https://t.co/RnxEBLQ0fI",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FMOx-vqX0AYJhaz.jpg'],Twitter for iPad,,,
18,2022-02-22 21:26:19+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Special Operations boats off Virginia Beach, Virginia - February 22, 2022 

* photo courtesy of @johnmorgan726 https://t.co/99xobLN66J",en,,['https://pbs.twimg.com/media/FMOxvElXMAIRH8p.jpg'],Twitter for iPad,,,
19,2022-02-22 14:37:04+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USCGC James (WMSL-754) Legend-class cutter coming into Mayport, Florida - February 22, 2022 #uscgcjames #wmsl754 https://t.co/ULv6IJjFvh",en,"['uscgcjames', 'wmsl754']",['https://pbs.twimg.com/media/FMNUEJTWQAwh_za.jpg'],Twitter for iPad,,,
20,2022-02-22 13:53:57+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Freedom-variant littoral combat ship coming into Norfolk, Virginia this morning - February 22, 2022 https://t.co/x5OyxFBxJE",en,,['https://pbs.twimg.com/media/FMNKMctXwAQbGYn.jpg'],Twitter for iPad,,,
21,2022-02-21 17:38:14+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USCGC Kimball (WMSL 756) Legend-class cutter leaving San Diego - February 21, 2022 #uscgckimball #wmsl756 https://t.co/HBapDFSnHQ",en,"['uscgckimball', 'wmsl756']",['https://pbs.twimg.com/media/FMIz8KxXEAo_05n.jpg'],Twitter for iPad,,,
22,2022-02-21 17:20:47+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Arleigh Burke-class guided missile destroyer coming into Norfolk, Virginia this morning - February 21, 2022 https://t.co/2xW5LwBSSr",en,,['https://pbs.twimg.com/media/FMIv8gYX0AowfH4.jpg'],Twitter for iPad,,,
23,2022-02-18 21:52:12+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier coming into San Diego - February 18, 2022 #ussnimitz #cvn68 https://t.co/gkoaSMJnYu",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FL6RTNeXMAU35fK.jpg'],Twitter for iPad,,,
24,2022-02-18 21:51:52+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier coming into San Diego - February 18, 2022 #ussnimitz #cvn68 https://t.co/QJbCiRkfy6",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FL6RORXXoAE1hfp.jpg'],Twitter for iPad,,,
25,2022-02-18 18:10:07+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Tripoli (LHA 7) America-class amphibious assault ship off of San Diego - February 18, 2022 #usstripoli #lha7 https://t.co/4BgNHXVh6y",en,"['usstripoli', 'lha7']",['https://pbs.twimg.com/media/FL5eeFWX0AMuS_o.jpg'],Twitter for iPad,,,
26,2022-02-18 18:06:01+00:00,WarshipCam,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USCGC Kimball (WMSL 756) Legend-class cutter coming into San Diego - February 18, 2022 #uscgckimball #wmsl756 https://t.co/xzN7hx3G8L",en,"['uscgckimball', 'wmsl756']",['https://pbs.twimg.com/media/FL5dh_EXEAM4ubV.jpg'],Twitter for iPad,,,
