,image,Text,confidenceOCR
0,images/Cropped Image1.jpg,Mi0z,0.5889675617218018
1,images/Cropped Image2.jpg,MI07,0.7496278882026672
2,images/Cropped Image3.jpg,Mi07,0.35784709453582764
3,images/Cropped Image4.jpg,150,0.5284801871374163
4,images/Cropped Image5.jpg,150,0.7336859598757104
5,images/Cropped Image6.jpg,4755,0.9562592506408691
6,images/Cropped Image7.jpg,4755,0.9264693260192871
7,images/Cropped Image8.jpg,P2BL,0.20164988934993744
8,images/Cropped Image9.jpg,P2OL,0.49366098642349243
9,images/Cropped Image10.jpg,P2BL,0.4708552658557892
10,images/Cropped Image11.jpg,4752,0.9441590309143066
11,images/Cropped Image12.jpg,4752,0.9743460416793823
12,images/Cropped Image13.jpg,P264,0.9452799374481604
13,images/Cropped Image14.jpg,P264,0.9820205569267273
14,images/Cropped Image15.jpg,P164,0.9885464906692505
15,images/Cropped Image17.jpg,P164,0.9953623414039612
16,images/Cropped Image16.jpg,F237,0.9634829163551331
17,images/Cropped Image18.jpg,F237,0.961627185344696
18,images/Cropped Image19.jpg,F237,0.8593618803234819
19,images/Cropped Image23.jpg,JfMaful,0.0762960300770293
20,images/Cropped Image21.jpg,P283,0.7601916193962097
21,images/Cropped Image22.jpg,Aeuz,0.4585425853729248
22,images/Cropped Image20.jpg,A8jz,0.16123157739639282
23,images/Cropped Image24.jpg,ISeThFul,0.01269669947135068
24,images/Cropped Image27.jpg,02,0.15606017563042
25,images/Cropped Image26.jpg,6 8 2,0.2665470124272548
26,images/Cropped Image25.jpg,682,0.3346839712652058
27,images/Cropped Image28.jpg,ae,0.030850450369965157
28,images/Cropped Image29.jpg,200,0.5861252803878392
29,images/Cropped Image30.jpg,WAVE %night,0.5951545252790635
30,images/Cropped Image31.jpg,20,0.7764201407282375
31,images/Cropped Image32.jpg,F237,0.25436633825302124
32,images/Cropped Image33.jpg,F237,0.2617836892604828
33,images/Cropped Image34.jpg,DGOSPORTMAAINA ANDDRY STACK,0.1738633435777827
34,images/Cropped Image35.jpg,,0.0
35,images/Cropped Image36.jpg,ETO GOSPORTMARINA AND DRY STACK,0.38279456474287665
36,images/Cropped Image37.jpg,,0.0
37,images/Cropped Image38.jpg,shilcr,0.21574365671263404
38,images/Cropped Image39.jpg,Shilcr,0.33676422372334014
39,images/Cropped Image40.jpg,"ROS ,",0.3097689592095909
40,images/Cropped Image42.jpg,WARNIA,0.7371035181469658
41,images/Cropped Image41.jpg,20,0.6262285869099388
42,images/Cropped Image43.jpg,20,0.9999978926582248
43,images/Cropped Image44.jpg,20,0.7770795058859604
44,images/Cropped Image46.jpg,2 |,0.8067302703857422
45,images/Cropped Image45.jpg,215,0.9966932544255682
46,images/Cropped Image47.jpg,215,0.555363655090332
47,images/Cropped Image48.jpg,215,0.5291885137557983
48,images/Cropped Image49.jpg,215,0.9988641213336298
49,images/Cropped Image50.jpg,4001,0.5392181225621502
50,images/Cropped Image51.jpg,400i,0.5049120783805847
51,images/Cropped Image52.jpg,1020,0.5377713441848755
52,images/Cropped Image53.jpg,020,0.7388265039138243
53,images/Cropped Image54.jpg,Ga0,0.26577254074813034
54,images/Cropped Image55.jpg,82 |,0.6408040403039202
55,images/Cropped Image56.jpg,82 |,0.8121267557144165
56,images/Cropped Image57.jpg,82 |,0.8384756500216697
57,images/Cropped Image59.jpg,F9z,0.29073841147734586
58,images/Cropped Image58.jpg,F9Z,0.47145108746719916
59,images/Cropped Image60.jpg,48},0.11622232009226528
60,images/Cropped Image61.jpg,20,0.6262285869099388
61,images/Cropped Image62.jpg,20,0.9999978926582248
62,images/Cropped Image63.jpg,20,0.7770795058859604
63,images/Cropped Image64.jpg,551,0.9984165617721815
64,images/Cropped Image65.jpg,551,0.9975766344064307
65,images/Cropped Image66.jpg,4001,0.5392181225621502
66,images/Cropped Image68.jpg,400i,0.5049120783805847
67,images/Cropped Image67.jpg,931,0.91505304142625
68,images/Cropped Image69.jpg,931,0.7642854536163843
69,images/Cropped Image72.jpg,O,0.24143418956876772
70,images/Cropped Image70.jpg,0oga,0.05028326436877251
71,images/Cropped Image71.jpg,572,0.9999852025288544
72,images/Cropped Image73.jpg,572,0.9999860972588346
